"Tabla de indicadores","","Fecha de descarga: 18-08-2017 (18:00:59)","","","","","","","","","","","","",""
"Cd. Manuel Doblado, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","100","100","100","100","100"
"Cuautla, Morelos","Tomas con servicio continuo (%)","18.48","18.26","17.95","17.69","17.35","16.9","16.58","16.34","16.07","15.7","15.32","15.1","14.91","18.41"
"Huanímaro, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","","84.25"
"Piedras Negras, Coahuila","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Acuña, Coahuila","Tomas con servicio continuo (%)","94.3","94.59","93.15","92.61","90.97","89.4","99.15","100","100","100","100","100","100","100"
"Sabinas, Coahuila","Tomas con servicio continuo (%)","","","","98.08","90.49","90.31","92.24","91.24","","","86.83","82.78","100","100"
"Iguala, Guerrero","Tomas con servicio continuo (%)","","","","","","","","","","","","100","100","100"
"Tampico, Tamaulipas","Tomas con servicio continuo (%)","","","100","100","100","100","99.87","100","100","100","100","100","100","100"
"Reynosa, Tamaulipas","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","","","","100","","85.6","88.4"
"Los Mochis, Sinaloa","Tomas con servicio continuo (%)","100","98.34","99.66","99.67","99.9","100","100","100","100","100","100","100","91.19","97.88"
"Manzanillo, Colima","Tomas con servicio continuo (%)","","","","100","100","","","","","","100","100","100",""
"Puerto Vallarta, Jalisco","Tomas con servicio continuo (%)","99.17","99.16","99.18","99.23","99.25","99.3","100","94.01","92.95","93.23","94.73","94.86","95.03","95.06"
"Hidalgo del Parral, Chihuahua","Tomas con servicio continuo (%)","10.75","9.94","9.95","9.95","9.81","9.72","17.92","10.63","24.31","17.36","13.31","31.92","31.84",""
"José María Morelos, Quintana Roo","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Bacalar, Quintana Roo","Tomas con servicio continuo (%)","","","","","","","","","","","","","","0.13"
"Kantunilkin, Quintana Roo","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100.67","101.05","102.1","","98.67"
"Monclova-Frontera, Coahuila","Tomas con servicio continuo (%)","","","","","2.58","3.91","24.23","28.3","30.9","33.27","34.04","36.6","39.75",""
"Colima, Colima","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Parras, Coahuila","Tomas con servicio continuo (%)","","","","","","","","100","100","100","100","100","100","100"
"Ocampo, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","15.35","15.94","11.5","87.48",""
"Pénjamo, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Ixmiquilpan, Hidalgo","Tomas con servicio continuo (%)","","","","","","","","","","","70.84","69.99","71","70"
"Cuauhtémoc, Chihuahua","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Temixco, Morelos","Tomas con servicio continuo (%)","6.66","6.82","5.74","5.28","5.51","8.84","9.67","","2.2","2.09","2.19","20.38","",""
"Cuernavaca, Morelos","Tomas con servicio continuo (%)","","","","","","","","","","","0.48","0.48","",""
"Emiliano Zapata, Morelos","Tomas con servicio continuo (%)","","","","","","20.55","20.8","","13.11","16.79","12.24","13.96","",""
"Xochitepec, Morelos","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"San Diego de la Unión, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","26.97","73.66","20.26","26.72","15.77"
"Campeche, Campeche","Tomas con servicio continuo (%)","54","50.49","51.49","53.51","53.25","71.4","68.53","53","52.47","51.08","65.72","99.82","67.05","67.12"
