CVE_SUN	CVE_ENT	CVE_MUN	CVE_SUNMUN	NOM_ENT	NOM_MUN	NOM_SUN	TIPO_SUN
13	15	15089	1315089	México	Tenango del Aire	Valle de México	1
13	15	15091	1315091	México	Teoloyucan	Valle de México	1
13	15	15092	1315092	México	Teotihuacán	Valle de México	1
13	15	15093	1315093	México	Tepetlaoxtoc	Valle de México	1
13	15	15094	1315094	México	Tepetlixpa	Valle de México	1
13	15	15095	1315095	México	Tepotzotlán	Valle de México	1
13	15	15096	1315096	México	Tequixquiac	Valle de México	1
13	15	15099	1315099	México	Texcoco	Valle de México	1
13	15	15100	1315100	México	Tezoyuca	Valle de México	1
13	15	15103	1315103	México	Tlalmanalco	Valle de México	1
13	15	15104	1315104	México	Tlalnepantla de Baz	Valle de México	1
13	15	15108	1315108	México	Tultepec	Valle de México	1
13	15	15109	1315109	México	Tultitlán	Valle de México	1
13	15	15112	1315112	México	Villa del Carbón	Valle de México	1
13	15	15120	1315120	México	Zumpango	Valle de México	1
13	15	15121	1315121	México	Cuautitlán Izcalli	Valle de México	1
13	15	15122	1315122	México	Valle de Chalco Solidaridad	Valle de México	1
13	15	15125	1315125	México	Tonanitla	Valle de México	1
14	11	11020	1411020	Guanajuato	León	León	1
14	11	11037	1411037	Guanajuato	Silao de la Victoria	León	1
15	11	11025	1511025	Guanajuato	Purísima del Rincón	San Francisco del Rincón	1
15	11	11031	1511031	Guanajuato	San Francisco del Rincón	San Francisco del Rincón	1
16	11	11021	1611021	Guanajuato	Moroleón	Moroleón-Uriangato	1
16	11	11041	1611041	Guanajuato	Uriangato	Moroleón-Uriangato	1
17	12	12001	1712001	Guerrero	Acapulco de Juárez	Acapulco	1
17	12	12021	1712021	Guerrero	Coyuca de Benítez	Acapulco	1
18	13	13022	1813022	Hidalgo	Epazoyucan	Pachuca	1
18	13	13039	1813039	Hidalgo	Mineral del Monte	Pachuca	1
18	13	13048	1813048	Hidalgo	Pachuca de Soto	Pachuca	1
18	13	13051	1813051	Hidalgo	Mineral de la Reforma	Pachuca	1
18	13	13052	1813052	Hidalgo	San Agustín Tlaxiaca	Pachuca	1
18	13	13082	1813082	Hidalgo	Zapotlán de Juárez	Pachuca	1
18	13	13083	1813083	Hidalgo	Zempoala	Pachuca	1
19	13	13016	1913016	Hidalgo	Cuautepec de Hinojosa	Tulancingo	1
19	13	13056	1913056	Hidalgo	Santiago Tulantepec de Lugo Guerrero	Tulancingo	1
19	13	13077	1913077	Hidalgo	Tulancingo de Bravo	Tulancingo	1
20	13	13010	2013010	Hidalgo	Atitalaquia	Tula	1
20	13	13013	2013013	Hidalgo	Atotonilco de Tula	Tula	1
20	13	13070	2013070	Hidalgo	Tlahuelilpan	Tula	1
20	13	13074	2013074	Hidalgo	Tlaxcoapan	Tula	1
20	13	13076	2013076	Hidalgo	Tula de Allende	Tula	1
21	14	14039	2114039	Jalisco	Guadalajara	Guadalajara	1
21	14	14044	2114044	Jalisco	Ixtlahuacán de los Membrillos	Guadalajara	1
21	14	14051	2114051	Jalisco	Juanacatlán	Guadalajara	1
21	14	14070	2114070	Jalisco	El Salto	Guadalajara	1
21	14	14097	2114097	Jalisco	Tlajomulco de Zúñiga	Guadalajara	1
21	14	14098	2114098	Jalisco	San Pedro Tlaquepaque	Guadalajara	1
21	14	14101	2114101	Jalisco	Tonalá	Guadalajara	1
21	14	14120	2114120	Jalisco	Zapopan	Guadalajara	1
22	14	14067	2214067	Jalisco	Puerto Vallarta	Puerto Vallarta	1
22	18	18020	2218020	Nayarit	Bahía de Banderas	Puerto Vallarta	1
23	14	14063	2314063	Jalisco	Ocotlán	Ocotlán	1
23	14	14066	2314066	Jalisco	Poncitlán	Ocotlán	1
24	15	15005	2415005	México	Almoloya de Juárez	Toluca	1
24	15	15018	2415018	México	Calimaya	Toluca	1
24	15	15027	2415027	México	Chapultepec	Toluca	1
24	15	15051	2415051	México	Lerma	Toluca	1
24	15	15054	2415054	México	Metepec	Toluca	1
24	15	15055	2415055	México	Mexicaltzingo	Toluca	1
24	15	15062	2415062	México	Ocoyoacac	Toluca	1
24	15	15067	2415067	México	Otzolotepec	Toluca	1
24	15	15072	2415072	México	Rayón	Toluca	1
24	15	15073	2415073	México	San Antonio la Isla	Toluca	1
24	15	15076	2415076	México	San Mateo Atenco	Toluca	1
24	15	15087	2415087	México	Temoaya	Toluca	1
24	15	15106	2415106	México	Toluca	Toluca	1
24	15	15115	2415115	México	Xonacatlán	Toluca	1
24	15	15118	2415118	México	Zinacantepec	Toluca	1
25	16	16022	2516022	Michoacán de Ocampo	Charo	Morelia	1
25	16	16053	2516053	Michoacán de Ocampo	Morelia	Morelia	1
25	16	16088	2516088	Michoacán de Ocampo	Tarímbaro	Morelia	1
26	16	16043	2616043	Michoacán de Ocampo	Jacona	Zamora-Jacona	1
26	16	16108	2616108	Michoacán de Ocampo	Zamora	Zamora-Jacona	1
27	11	11023	2711023	Guanajuato	Pénjamo	La Piedad-Pénjamo	1
27	16	16069	2716069	Michoacán de Ocampo	La Piedad	La Piedad-Pénjamo	1
28	17	17007	2817007	Morelos	Cuernavaca	Cuernavaca	1
28	17	17008	2817008	Morelos	Emiliano Zapata	Cuernavaca	1
28	17	17009	2817009	Morelos	Huitzilac	Cuernavaca	1
28	17	17011	2817011	Morelos	Jiutepec	Cuernavaca	1
28	17	17018	2817018	Morelos	Temixco	Cuernavaca	1
28	17	17020	2817020	Morelos	Tepoztlán	Cuernavaca	1
28	17	17024	2817024	Morelos	Tlaltizapán de Zapata	Cuernavaca	1
28	17	17028	2817028	Morelos	Xochitepec	Cuernavaca	1
29	17	17002	2917002	Morelos	Atlatlahucan	Cuautla	1
29	17	17004	2917004	Morelos	Ayala	Cuautla	1
29	17	17006	2917006	Morelos	Cuautla	Cuautla	1
29	17	17026	2917026	Morelos	Tlayacapan	Cuautla	1
29	17	17029	2917029	Morelos	Yautepec	Cuautla	1
29	17	17030	2917030	Morelos	Yecapixtla	Cuautla	1
30	18	18008	3018008	Nayarit	Xalisco	Tepic	1
30	18	18017	3018017	Nayarit	Tepic	Tepic	1
31	19	19006	3119006	Nuevo León	Apodaca	Monterrey	1
31	19	19009	3119009	Nuevo León	Cadereyta Jiménez	Monterrey	1
31	19	19010	3119010	Nuevo León	El Carmen	Monterrey	1
31	19	19018	3119018	Nuevo León	García	Monterrey	1
31	19	19019	3119019	Nuevo León	San Pedro Garza García	Monterrey	1
31	19	19021	3119021	Nuevo León	General Escobedo	Monterrey	1
31	19	19026	3119026	Nuevo León	Guadalupe	Monterrey	1
31	19	19031	3119031	Nuevo León	Juárez	Monterrey	1
31	19	19039	3119039	Nuevo León	Monterrey	Monterrey	1
31	19	19045	3119045	Nuevo León	Salinas Victoria	Monterrey	1
31	19	19046	3119046	Nuevo León	San Nicolás de los Garza	Monterrey	1
31	19	19048	3119048	Nuevo León	Santa Catarina	Monterrey	1
31	19	19049	3119049	Nuevo León	Santiago	Monterrey	1
32	20	20067	3220067	Oaxaca	Oaxaca de Juárez	Oaxaca	1
32	20	20083	3220083	Oaxaca	San Agustín de las Juntas	Oaxaca	1
32	20	20087	3220087	Oaxaca	San Agustín Yatareni	Oaxaca	1
32	20	20091	3220091	Oaxaca	San Andrés Huayápam	Oaxaca	1
32	20	20107	3220107	Oaxaca	San Antonio de la Cal	Oaxaca	1
32	20	20115	3220115	Oaxaca	San Bartolo Coyotepec	Oaxaca	1
32	20	20157	3220157	Oaxaca	San Jacinto Amilpas	Oaxaca	1
32	20	20174	3220174	Oaxaca	Ánimas Trujano	Oaxaca	1
32	20	20227	3220227	Oaxaca	San Lorenzo Cacaotepec	Oaxaca	1
32	20	20293	3220293	Oaxaca	San Pablo Etla	Oaxaca	1
32	20	20338	3220338	Oaxaca	Villa de Etla	Oaxaca	1
32	20	20350	3220350	Oaxaca	San Sebastián Tutla	Oaxaca	1
32	20	20375	3220375	Oaxaca	Santa Cruz Amilpas	Oaxaca	1
32	20	20385	3220385	Oaxaca	Santa Cruz Xoxocotlán	Oaxaca	1
32	20	20390	3220390	Oaxaca	Santa Lucía del Camino	Oaxaca	1
32	20	20399	3220399	Oaxaca	Santa María Atzompa	Oaxaca	1
32	20	20403	3220403	Oaxaca	Santa María Coyotepec	Oaxaca	1
32	20	20409	3220409	Oaxaca	Santa María del Tule	Oaxaca	1
32	20	20519	3220519	Oaxaca	Santo Domingo Tomaltepec	Oaxaca	1
32	20	20539	3220539	Oaxaca	Soledad Etla	Oaxaca	1
32	20	20553	3220553	Oaxaca	Tlalixtac de Cabrera	Oaxaca	1
32	20	20565	3220565	Oaxaca	Villa de Zaachila	Oaxaca	1
33	20	20079	3320079	Oaxaca	Salina Cruz	Tehuantepec	1
33	20	20124	3320124	Oaxaca	San Blas Atempa	Tehuantepec	1
33	20	20515	3320515	Oaxaca	Santo Domingo Tehuantepec	Tehuantepec	1
34	21	21001	3421001	Puebla	Acajete	Puebla-Tlaxcala	1
34	21	21015	3421015	Puebla	Amozoc	Puebla-Tlaxcala	1
34	21	21034	3421034	Puebla	Coronango	Puebla-Tlaxcala	1
34	21	21041	3421041	Puebla	Cuautlancingo	Puebla-Tlaxcala	1
34	21	21048	3421048	Puebla	Chiautzingo	Puebla-Tlaxcala	1
34	21	21060	3421060	Puebla	Domingo Arenas	Puebla-Tlaxcala	1
34	21	21074	3421074	Puebla	Huejotzingo	Puebla-Tlaxcala	1
34	21	21090	3421090	Puebla	Juan C. Bonilla	Puebla-Tlaxcala	1
34	21	21106	3421106	Puebla	Ocoyucan	Puebla-Tlaxcala	1
34	21	21114	3421114	Puebla	Puebla	Puebla-Tlaxcala	1
34	21	21119	3421119	Puebla	San Andrés Cholula	Puebla-Tlaxcala	1
34	21	21122	3421122	Puebla	San Felipe Teotlalcingo	Puebla-Tlaxcala	1
34	21	21125	3421125	Puebla	San Gregorio Atzompa	Puebla-Tlaxcala	1
34	21	21132	3421132	Puebla	San Martín Texmelucan	Puebla-Tlaxcala	1
34	21	21136	3421136	Puebla	San Miguel Xoxtla	Puebla-Tlaxcala	1
34	21	21140	3421140	Puebla	San Pedro Cholula	Puebla-Tlaxcala	1
34	21	21143	3421143	Puebla	San Salvador el Verde	Puebla-Tlaxcala	1
34	21	21163	3421163	Puebla	Tepatlaxco de Hidalgo	Puebla-Tlaxcala	1
34	21	21181	3421181	Puebla	Tlaltenango	Puebla-Tlaxcala	1
34	29	29015	3429015	Tlaxcala	Ixtacuixtla de Mariano Matamoros	Puebla-Tlaxcala	1
34	29	29017	3429017	Tlaxcala	Mazatecochco de José María Morelos	Puebla-Tlaxcala	1
34	29	29019	3429019	Tlaxcala	Tepetitla de Lardizábal	Puebla-Tlaxcala	1
34	29	29022	3429022	Tlaxcala	Acuamanala de Miguel Hidalgo	Puebla-Tlaxcala	1
34	29	29023	3429023	Tlaxcala	Natívitas	Puebla-Tlaxcala	1
34	29	29025	3429025	Tlaxcala	San Pablo del Monte	Puebla-Tlaxcala	1
34	29	29027	3429027	Tlaxcala	Tenancingo	Puebla-Tlaxcala	1
34	29	29028	3429028	Tlaxcala	Teolocholco	Puebla-Tlaxcala	1
34	29	29029	3429029	Tlaxcala	Tepeyanco	Puebla-Tlaxcala	1
34	29	29032	3429032	Tlaxcala	Tetlatlahuca	Puebla-Tlaxcala	1
34	29	29041	3429041	Tlaxcala	Papalotla de Xicohténcatl	Puebla-Tlaxcala	1
34	29	29042	3429042	Tlaxcala	Xicohtzinco	Puebla-Tlaxcala	1
34	29	29044	3429044	Tlaxcala	Zacatelco	Puebla-Tlaxcala	1
34	29	29051	3429051	Tlaxcala	San Jerónimo Zacualpan	Puebla-Tlaxcala	1
34	29	29053	3429053	Tlaxcala	San Juan Huactzinco	Puebla-Tlaxcala	1
34	29	29054	3429054	Tlaxcala	San Lorenzo Axocomanitla	Puebla-Tlaxcala	1
34	29	29056	3429056	Tlaxcala	Santa Ana Nopalucan	Puebla-Tlaxcala	1
34	29	29057	3429057	Tlaxcala	Santa Apolonia Teacalco	Puebla-Tlaxcala	1
34	29	29058	3429058	Tlaxcala	Santa Catarina Ayometla	Puebla-Tlaxcala	1
34	29	29059	3429059	Tlaxcala	Santa Cruz Quilehtla	Puebla-Tlaxcala	1
35	21	21149	3521149	Puebla	Santiago Miahuatlán	Tehuacán	1
35	21	21156	3521156	Puebla	Tehuacán	Tehuacán	1
36	22	22006	3622006	Querétaro	Corregidora	Querétaro	1
36	22	22008	3622008	Querétaro	Huimilpan	Querétaro	1
36	22	22011	3622011	Querétaro	El Marqués	Querétaro	1
36	22	22014	3622014	Querétaro	Querétaro	Querétaro	1
37	23	23003	3723003	Quintana Roo	Isla Mujeres	Cancún	1
37	23	23005	3723005	Quintana Roo	Benito Juárez	Cancún	1
38	24	24028	3824028	San Luis Potosí	San Luis Potosí	San Luis Potosí-Soledad de Graciano Sánchez	1
38	24	24035	3824035	San Luis Potosí	Soledad de Graciano Sánchez	San Luis Potosí-Soledad de Graciano Sánchez	1
39	24	24011	3924011	San Luis Potosí	Ciudad Fernández	Río Verde-Cd. Fernández	1
39	24	24024	3924024	San Luis Potosí	Rioverde	Río Verde-Cd. Fernández	1
40	26	26025	4026025	Sonora	Empalme	Guaymas	1
40	26	26029	4026029	Sonora	Guaymas	Guaymas	1
41	27	27004	4127004	Tabasco	Centro	Villahermosa	1
41	27	27013	4127013	Tabasco	Nacajuca	Villahermosa	1
42	28	28003	4228003	Tamaulipas	Altamira	Tampico	1
42	28	28009	4228009	Tamaulipas	Ciudad Madero	Tampico	1
42	28	28038	4228038	Tamaulipas	Tampico	Tampico	1
42	30	30123	4230123	Veracruz de Ignacio de la Llave	Pánuco	Tampico	1
42	30	30133	4230133	Veracruz de Ignacio de la Llave	Pueblo Viejo	Tampico	1
43	28	28032	4328032	Tamaulipas	Reynosa	Reynosa-Río Bravo	1
43	28	28033	4328033	Tamaulipas	Río Bravo	Reynosa-Río Bravo	1
44	28	28022	4428022	Tamaulipas	Matamoros	Matamoros	1
45	28	28027	4528027	Tamaulipas	Nuevo Laredo	Nuevo Laredo	1
46	29	29001	4629001	Tlaxcala	Amaxac de Guerrero	Tlaxcala-Apizaco	1
46	29	29002	4629002	Tlaxcala	Apetatitlán de Antonio Carvajal	Tlaxcala-Apizaco	1
46	29	29005	4629005	Tlaxcala	Apizaco	Tlaxcala-Apizaco	1
46	29	29009	4629009	Tlaxcala	Cuaxomulco	Tlaxcala-Apizaco	1
46	29	29010	4629010	Tlaxcala	Chiautempan	Tlaxcala-Apizaco	1
46	29	29018	4629018	Tlaxcala	Contla de Juan Cuamatzi	Tlaxcala-Apizaco	1
46	29	29024	4629024	Tlaxcala	Panotla	Tlaxcala-Apizaco	1
46	29	29026	4629026	Tlaxcala	Santa Cruz Tlaxcala	Tlaxcala-Apizaco	1
46	29	29031	4629031	Tlaxcala	Tetla de la Solidaridad	Tlaxcala-Apizaco	1
46	29	29033	4629033	Tlaxcala	Tlaxcala	Tlaxcala-Apizaco	1
46	29	29035	4629035	Tlaxcala	Tocatlán	Tlaxcala-Apizaco	1
46	29	29036	4629036	Tlaxcala	Totolac	Tlaxcala-Apizaco	1
46	29	29038	4629038	Tlaxcala	Tzompantepec	Tlaxcala-Apizaco	1
46	29	29039	4629039	Tlaxcala	Xaloztoc	Tlaxcala-Apizaco	1
46	29	29043	4629043	Tlaxcala	Yauhquemehcan	Tlaxcala-Apizaco	1
46	29	29048	4629048	Tlaxcala	La Magdalena Tlaltelulco	Tlaxcala-Apizaco	1
46	29	29049	4629049	Tlaxcala	San Damián Texóloc	Tlaxcala-Apizaco	1
46	29	29050	4629050	Tlaxcala	San Francisco Tetlanohcan	Tlaxcala-Apizaco	1
46	29	29060	4629060	Tlaxcala	Santa Isabel Xiloxoxtla	Tlaxcala-Apizaco	1
47	30	30011	4730011	Veracruz de Ignacio de la Llave	Alvarado	Veracruz	1
47	30	30028	4730028	Veracruz de Ignacio de la Llave	Boca del Río	Veracruz	1
47	30	30090	4730090	Veracruz de Ignacio de la Llave	Jamapa	Veracruz	1
47	30	30105	4730105	Veracruz de Ignacio de la Llave	Medellín de Bravo	Veracruz	1
47	30	30193	4730193	Veracruz de Ignacio de la Llave	Veracruz	Veracruz	1
48	30	30026	4830026	Veracruz de Ignacio de la Llave	Banderilla	Xalapa	1
48	30	30038	4830038	Veracruz de Ignacio de la Llave	Coatepec	Xalapa	1
48	30	30065	4830065	Veracruz de Ignacio de la Llave	Emiliano Zapata	Xalapa	1
48	30	30087	4830087	Veracruz de Ignacio de la Llave	Xalapa	Xalapa	1
48	30	30093	4830093	Veracruz de Ignacio de la Llave	Jilotepec	Xalapa	1
48	30	30136	4830136	Veracruz de Ignacio de la Llave	Rafael Lucio	Xalapa	1
48	30	30182	4830182	Veracruz de Ignacio de la Llave	Tlalnelhuayocan	Xalapa	1
49	30	30033	4930033	Veracruz de Ignacio de la Llave	Cazones de Herrera	Poza Rica	1
49	30	30040	4930040	Veracruz de Ignacio de la Llave	Coatzintla	Poza Rica	1
49	30	30124	4930124	Veracruz de Ignacio de la Llave	Papantla	Poza Rica	1
49	30	30131	4930131	Veracruz de Ignacio de la Llave	Poza Rica de Hidalgo	Poza Rica	1
49	30	30175	4930175	Veracruz de Ignacio de la Llave	Tihuatlán	Poza Rica	1
50	30	30022	5030022	Veracruz de Ignacio de la Llave	Atzacan	Orizaba	1
50	30	30030	5030030	Veracruz de Ignacio de la Llave	Camerino Z. Mendoza	Orizaba	1
50	30	30074	5030074	Veracruz de Ignacio de la Llave	Huiloapan de Cuauhtémoc	Orizaba	1
50	30	30081	5030081	Veracruz de Ignacio de la Llave	Ixhuatlancillo	Orizaba	1
50	30	30085	5030085	Veracruz de Ignacio de la Llave	Ixtaczoquitlán	Orizaba	1
50	30	30099	5030099	Veracruz de Ignacio de la Llave	Maltrata	Orizaba	1
50	30	30101	5030101	Veracruz de Ignacio de la Llave	Mariano Escobedo	Orizaba	1
50	30	30115	5030115	Veracruz de Ignacio de la Llave	Nogales	Orizaba	1
50	30	30118	5030118	Veracruz de Ignacio de la Llave	Orizaba	Orizaba	1
50	30	30135	5030135	Veracruz de Ignacio de la Llave	Rafael Delgado	Orizaba	1
50	30	30138	5030138	Veracruz de Ignacio de la Llave	Río Blanco	Orizaba	1
50	30	30185	5030185	Veracruz de Ignacio de la Llave	Tlilapan	Orizaba	1
51	30	30048	5130048	Veracruz de Ignacio de la Llave	Cosoleacaque	Minatitlán	1
51	30	30059	5130059	Veracruz de Ignacio de la Llave	Chinameca	Minatitlán	1
51	30	30089	5130089	Veracruz de Ignacio de la Llave	Jáltipan	Minatitlán	1
51	30	30108	5130108	Veracruz de Ignacio de la Llave	Minatitlán	Minatitlán	1
51	30	30120	5130120	Veracruz de Ignacio de la Llave	Oteapan	Minatitlán	1
51	30	30199	5130199	Veracruz de Ignacio de la Llave	Zaragoza	Minatitlán	1
52	30	30039	5230039	Veracruz de Ignacio de la Llave	Coatzacoalcos	Coatzacoalcos	1
52	30	30082	5230082	Veracruz de Ignacio de la Llave	Ixhuatlán del Sureste	Coatzacoalcos	1
52	30	30206	5230206	Veracruz de Ignacio de la Llave	Nanchital de Lázaro Cárdenas del Río	Coatzacoalcos	1
53	30	30014	5330014	Veracruz de Ignacio de la Llave	Amatlán de los Reyes	Córdoba	1
53	30	30044	5330044	Veracruz de Ignacio de la Llave	Córdoba	Córdoba	1
53	30	30068	5330068	Veracruz de Ignacio de la Llave	Fortín	Córdoba	1
53	30	30196	5330196	Veracruz de Ignacio de la Llave	Yanga	Córdoba	1
54	30	30003	5430003	Veracruz de Ignacio de la Llave	Acayucan	Acayucan	1
54	30	30116	5430116	Veracruz de Ignacio de la Llave	Oluta	Acayucan	1
54	30	30145	5430145	Veracruz de Ignacio de la Llave	Soconusco	Acayucan	1
55	31	31013	5531013	Yucatán	Conkal	Mérida	1
55	31	31041	5531041	Yucatán	Kanasín	Mérida	1
55	31	31050	5531050	Yucatán	Mérida	Mérida	1
55	31	31100	5531100	Yucatán	Ucú	Mérida	1
55	31	31101	5531101	Yucatán	Umán	Mérida	1
56	32	32017	5632017	Zacatecas	Guadalupe	Zacatecas-Guadalupe	1
56	32	32032	5632032	Zacatecas	Morelos	Zacatecas-Guadalupe	1
56	32	32056	5632056	Zacatecas	Zacatecas	Zacatecas-Guadalupe	1
57	11	11007	5711007	Guanajuato	Celaya	Celaya	1
57	11	11009	5711009	Guanajuato	Comonfort	Celaya	1
57	11	11044	5711044	Guanajuato	Villagrán	Celaya	1
58	15	15006	5815006	México	Almoloya del Río	Tianguistenco	1
58	15	15012	5815012	México	Atizapán	Tianguistenco	1
58	15	15019	5815019	México	Capulhuac	Tianguistenco	1
58	15	15043	5815043	México	Xalatlaco	Tianguistenco	1
58	15	15098	5815098	México	Texcalyacac	Tianguistenco	1
58	15	15101	5815101	México	Tianguistenco	Tianguistenco	1
59	21	21054	5921054	Puebla	Chignautla	Teziutlán	1
59	21	21174	5921174	Puebla	Teziutlán	Teziutlán	1
60	2	2001	6002001	Baja California	Ensenada	Ensenada	2
62	3	3008	6203008	Baja California Sur	Los Cabos	Cabo San Lucas	2
63	4	4002	6304002	Campeche	Campeche	Campeche	2
65	6	6007	6506007	Colima	Manzanillo	Manzanillo	2
66	7	7089	6607089	Chiapas	Tapachula	Tapachula de Cordova y Ordoñez	2
68	11	11015	6811015	Guanajuato	Guanajuato	Guanajuato	2
69	11	11017	6911017	Guanajuato	Irapuato	Irapuato	2
71	11	11033	7111033	Guanajuato	San Luis de la Paz	San Luis de la Paz	2
73	12	12029	7312029	Guerrero	Chilpancingo de los Bravo	Chilpancingo de los Bravo	2
94	16	16052	9416052	Michoacán de Ocampo	Lázaro Cárdenas	Ciudad Lázaro Cárdenas	2
